Dates,Times,ING Stage DCP-raw
6/24/2020,8:15:00,0.06
6/24/2020,8:30:00,0.06
6/24/2020,8:45:00,0.07
6/24/2020,9:00:00,0.07
6/24/2020,9:15:00,0.06
6/24/2020,9:30:00,0.06
6/24/2020,9:45:00,0.06
6/24/2020,10:00:00,0.06
6/24/2020,10:15:00,0.06
6/24/2020,10:30:00,0.06
6/24/2020,10:45:00,0.06
6/24/2020,11:00:00,0.06
6/24/2020,11:15:00,0.06
6/24/2020,11:30:00,0.06
6/24/2020,11:45:00,0.06
6/24/2020,12:00:00,0.06
6/24/2020,12:15:00,0.06
6/24/2020,12:30:00,0.06
6/24/2020,12:45:00,0.06
6/24/2020,13:00:00,0.06
6/24/2020,13:15:00,0.06
6/24/2020,13:30:00,0.06
6/24/2020,13:45:00,0.06
6/24/2020,14:00:00,0.06
6/24/2020,14:15:00,0.06
6/24/2020,14:30:00,0.06
6/24/2020,14:45:00,0.06
6/24/2020,15:00:00,0.06
6/24/2020,15:15:00,0.06
6/24/2020,15:30:00,0.06
6/24/2020,15:45:00,0.06
6/24/2020,16:00:00,0.06
6/24/2020,16:15:00,0.06
6/24/2020,16:30:00,0.06
6/24/2020,16:45:00,0.06
6/24/2020,17:00:00,0.06
6/24/2020,17:15:00,0.06
6/24/2020,17:30:00,0.06
6/24/2020,17:45:00,0.06
6/24/2020,18:00:00, 
6/24/2020,18:15:00,0.06
6/24/2020,18:30:00,0.06
6/24/2020,18:45:00,0.06
6/24/2020,19:00:00,0.06
6/24/2020,19:15:00,0.06
6/24/2020,19:30:00,0.06
6/24/2020,19:45:00,0.05
6/24/2020,20:00:00, 
6/24/2020,20:15:00,0.05
6/24/2020,20:30:00,0.05
6/24/2020,20:45:00,0.05
6/24/2020,21:00:00,0.05
6/24/2020,21:15:00,0.05
6/24/2020,21:30:00,0.05
6/24/2020,21:45:00,0.05
6/24/2020,22:00:00,0.05
6/24/2020,22:15:00,0.05
6/24/2020,22:30:00,0.05
6/24/2020,22:45:00,0.05
6/24/2020,23:00:00,0.05
6/24/2020,23:15:00,0.05
6/24/2020,23:30:00,0.05
6/24/2020,23:45:00,0.05
6/25/2020,0:00:00, 
6/25/2020,0:15:00,0.05
6/25/2020,0:30:00,0.05
6/25/2020,0:45:00,0.07
6/25/2020,1:00:00,0.09
6/25/2020,1:15:00,0.11
6/25/2020,1:30:00,0.13
6/25/2020,1:45:00,0.15
6/25/2020,2:00:00,0.16
6/25/2020,2:15:00,0.17
6/25/2020,2:30:00,0.19
6/25/2020,2:45:00,0.21
6/25/2020,3:00:00,0.23
6/25/2020,3:15:00,0.24
6/25/2020,3:30:00,0.25
6/25/2020,3:45:00,0.27
6/25/2020,4:00:00,0.28
6/25/2020,4:15:00,0.29
6/25/2020,4:30:00,0.31
6/25/2020,4:45:00,0.32
6/25/2020,5:00:00,0.33
6/25/2020,5:15:00,0.34
6/25/2020,5:30:00,0.34
6/25/2020,5:45:00,0.35
6/25/2020,6:00:00, 
6/25/2020,6:15:00,0.35
6/25/2020,6:30:00,0.36
6/25/2020,6:45:00,0.36
6/25/2020,7:00:00,0.36
6/25/2020,7:15:00,0.37
6/25/2020,7:30:00,0.37
6/25/2020,7:45:00,0.36
6/25/2020,8:00:00, 
6/25/2020,8:15:00,0.36
6/25/2020,8:30:00,0.35
6/25/2020,8:45:00,0.36
6/25/2020,9:00:00,0.36
6/25/2020,9:15:00,0.36
6/25/2020,9:30:00,0.36
6/25/2020,9:45:00,0.35
6/25/2020,10:00:00,0.36
6/25/2020,10:15:00,0.35
6/25/2020,10:30:00,0.35
6/25/2020,10:45:00,0.34
6/25/2020,11:00:00,0.34
6/25/2020,11:15:00,0.34
6/25/2020,11:30:00,0.33
6/25/2020,11:45:00,0.32
6/25/2020,12:00:00,0.32
6/25/2020,12:15:00,0.31
6/25/2020,12:30:00,0.31
6/25/2020,12:45:00,0.3
6/25/2020,13:00:00,0.29
6/25/2020,13:15:00,0.28
6/25/2020,13:30:00,0.28
6/25/2020,13:45:00,0.27
6/25/2020,14:00:00,0.26
6/25/2020,14:15:00,0.25
6/25/2020,14:30:00,0.25
6/25/2020,14:45:00,0.24
6/25/2020,15:00:00,0.23
6/25/2020,15:15:00,0.23
6/25/2020,15:30:00,0.22
6/25/2020,15:45:00,0.21
6/25/2020,16:00:00,0.21
6/25/2020,16:15:00,0.21
6/25/2020,16:30:00,0.2
6/25/2020,16:45:00,0.2
6/25/2020,17:00:00, 
6/25/2020,17:15:00,0.2
6/25/2020,17:30:00,0.19
6/25/2020,17:45:00,0.19
6/25/2020,18:00:00,0.19
6/25/2020,18:15:00,0.19
6/25/2020,18:30:00,0.19
6/25/2020,18:45:00,0.2
